"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.045932040E0,-2.062225342E-2,-7.133483887E-4,-2.399510145E-2
1.050709488E0,-1.470863819E-2,-7.773399353E-3,-1.647311449E-2
1.055486936E0,-8.869767189E-3,-7.644653320E-3,-1.929962635E-2
1.060264436E0,-2.253055573E-5,-2.053928375E-2,-1.455175877E-2
1.065041884E0,1.177525520E-2,-3.389835358E-2,-8.802533150E-3
1.069819332E0,7.491230965E-3,-5.425548553E-2,9.327828884E-3
1.074596832E0,5.560040474E-3,-1.927280426E-2,2.299278975E-2
1.079374280E0,1.318347454E-2,-1.304149628E-2,4.181200266E-2
1.084151728E0,9.439945221E-3,2.628326416E-3,6.159365177E-2
1.088929228E0,1.765573025E-2,-1.988410950E-3,7.288789749E-2
1.093706676E0,4.124951363E-2,-6.569862366E-3,7.764798403E-2
1.098484124E0,6.471729279E-2,1.498699188E-2,8.372575045E-2
1.103261103E0,5.076217651E-2,2.451801300E-2,5.842387676E-2
1.108039072E0,4.223179817E-2,2.565288544E-2,2.865701914E-2
1.112816519E0,2.430677414E-2,1.610088348E-2,1.698100567E-2
1.117594019E0,1.426923275E-2,7.009506226E-4,5.411863327E-3
1.122371467E0,7.299304008E-3,-2.583408356E-2,-1.382142305E-2
1.127148915E0,-1.385450363E-3,-1.416873932E-2,-6.570845842E-2
1.131926415E0,-1.643288136E-2,-2.095890045E-2,-7.285445929E-2
1.136703863E0,-4.858005047E-2,-7.506370544E-3,-1.039480567E-1
1.141481311E0,-8.350276947E-2,-3.449344635E-2,-1.072064042E-1
1.146258811E0,-7.783639431E-2,-4.106426239E-2,-1.042774320E-1
1.151036259E0,-8.413887024E-2,-2.029514313E-2,-9.433960915E-2
1.155813707E0,-7.324457169E-2,-2.045822144E-2,-8.172500134E-2
1.160591207E0,-5.712211132E-2,-1.290702820E-2,-4.908424616E-2
1.165368655E0,-4.644632339E-2,-4.814147949E-3,-1.442611217E-2
1.170146103E0,-2.577090263E-2,-5.093574524E-3,7.509469986E-3
1.174923603E0,-2.662587166E-2,-4.790306091E-3,3.653556108E-2
1.179701051E0,-2.447962761E-2,1.436233521E-3,6.309390068E-2
1.184478499E0,-1.167476177E-2,-9.608268738E-3,1.038833261E-1
1.189255999E0,9.956717491E-3,6.714820862E-3,1.433851123E-1
1.194033447E0,2.009510994E-2,5.088806152E-3,1.773357987E-1
1.198810894E0,3.548288345E-2,2.422809601E-2,2.081775665E-1
1.203588394E0,3.648281097E-2,3.251552582E-2,2.471882105E-1
1.208365842E0,3.997325897E-2,2.294445038E-2,2.392110825E-1
1.213143290E0,3.299188614E-2,-6.709098816E-3,2.210350037E-1
1.217920790E0,1.841366291E-2,-2.903366089E-2,1.709719300E-1
1.222698238E0,-1.438188553E-2,2.771377563E-3,1.059105396E-1
1.227475686E0,-1.677107811E-2,2.654647827E-2,1.183033586E-1
1.232253186E0,2.009320259E-2,-1.691532135E-2,6.202179193E-2
1.237030634E0,3.712725639E-2,-4.222297668E-2,4.623651505E-3
1.241808082E0,3.864240646E-2,-3.290462494E-2,-4.754370451E-2
1.246585582E0,6.683599949E-2,-2.068233490E-2,-7.219940424E-2
1.251363030E0,6.045579910E-2,-2.605438232E-3,-9.976774454E-2
1.256140478E0,5.473482609E-2,-8.964538574E-5,-1.414785385E-1
