"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.129454176E0,1.983750153E1,-3.562500000E1,-3.789375305E1
3.139454176E0,1.993125153E1,-3.541875076E1,-3.766875076E1
3.149454176E0,1.983750153E1,-3.541875076E1,-3.776250076E1
3.159454176E0,2.000625038E1,-3.556875229E1,-3.800625229E1
3.169454176E0,1.991250038E1,-3.532500076E1,-3.819375229E1
3.179454176E0,1.993125153E1,-3.517500305E1,-3.808125305E1
3.189454176E0,1.991250038E1,-3.500625229E1,-3.808125305E1
3.199454176E0,1.995000076E1,-3.500625229E1,-3.817500305E1
3.209454176E0,1.966875076E1,-3.504375076E1,-3.817500305E1
3.219454176E0,1.946250153E1,-3.536250305E1,-3.860625076E1
3.229454176E0,1.948125076E1,-3.596250153E1,-3.916875076E1
3.239454176E0,1.959375000E1,-3.594375229E1,-3.915000153E1
3.249454176E0,1.931250000E1,-3.609375000E1,-3.907500076E1
3.259454176E0,1.929375076E1,-3.624375153E1,-3.911250305E1
3.269454176E0,1.931250000E1,-3.615000153E1,-3.939375305E1
3.279454176E0,1.923750114E1,-3.596250153E1,-3.939375305E1
3.289454176E0,1.931250000E1,-3.560625076E1,-3.945000076E1
3.299454176E0,1.948125076E1,-3.553125000E1,-3.937500000E1
3.309454176E0,1.959375000E1,-3.496875000E1,-3.907500076E1
3.319454176E0,1.929375076E1,-3.506250000E1,-3.911250305E1
3.329454176E0,1.925625038E1,-3.485625076E1,-3.909375000E1
3.339454176E0,1.929375076E1,-3.510000229E1,-3.973125076E1
3.349454176E0,1.940625000E1,-3.504375076E1,-3.960000229E1
3.359454176E0,1.912500000E1,-3.526875305E1,-3.948750305E1
3.369454176E0,1.931250000E1,-3.573750305E1,-3.943125153E1
3.379454176E0,1.897500038E1,-3.607500076E1,-3.928125000E1
3.389454176E0,1.901250076E1,-3.598125076E1,-3.888750076E1
3.399454176E0,1.918125153E1,-3.568125153E1,-3.890625000E1
3.409454176E0,1.918125153E1,-3.588750076E1,-3.892500305E1
3.419454176E0,1.916250038E1,-3.564375305E1,-3.836250305E1
3.429454176E0,1.906875038E1,-3.579375076E1,-3.832500076E1
3.439454176E0,1.929375076E1,-3.626250076E1,-3.860625076E1
3.449454176E0,1.933125114E1,-3.600000000E1,-3.856875229E1
3.459454176E0,1.970625114E1,-3.568125153E1,-3.871875000E1
3.469454176E0,1.968750000E1,-3.566250229E1,-3.883125305E1
3.479454176E0,1.966875076E1,-3.575625229E1,-3.849375153E1
3.489454176E0,1.989375114E1,-3.551250076E1,-3.851250076E1
3.499454176E0,1.974375153E1,-3.540000153E1,-3.862500000E1
3.509454176E0,1.974375153E1,-3.547500229E1,-3.856875229E1
3.519454176E0,2.008125114E1,-3.502500153E1,-3.832500076E1
3.529454176E0,2.017500114E1,-3.515625000E1,-3.849375153E1
3.539454176E0,2.030625153E1,-3.540000153E1,-3.808125305E1
3.549454176E0,2.025000000E1,-3.556875229E1,-3.791250229E1
3.559454176E0,2.013750076E1,-3.562500000E1,-3.793125153E1
3.569454176E0,2.011875153E1,-3.558750153E1,-3.772500229E1
3.579454176E0,2.013750076E1,-3.583125305E1,-3.770625305E1
3.589454176E0,2.015625000E1,-3.618750000E1,-3.800625229E1
3.599454176E0,1.974375153E1,-3.631875229E1,-3.789375305E1
3.609454176E0,1.950000000E1,-3.622500229E1,-3.736875153E1
3.619454176E0,1.920000076E1,-3.577500153E1,-3.751875305E1
3.629454176E0,1.920000076E1,-3.560625076E1,-3.778125000E1
3.639454176E0,1.918125153E1,-3.570000076E1,-3.776250076E1
3.649454176E0,1.921875000E1,-3.568125153E1,-3.789375305E1
3.659454176E0,1.929375076E1,-3.611250305E1,-3.813750076E1
3.669454176E0,1.923750114E1,-3.579375076E1,-3.776250076E1
3.679454176E0,1.936875153E1,-3.570000076E1,-3.783750153E1
3.689454176E0,1.957500076E1,-3.581250000E1,-3.793125153E1
3.699454176E0,1.953750038E1,-3.585000229E1,-3.830625153E1
3.709454176E0,1.951875114E1,-3.598125076E1,-3.810000229E1
3.719454176E0,1.938750076E1,-3.605625153E1,-3.823125076E1
3.729454176E0,1.942500114E1,-3.624375153E1,-3.813750076E1
3.739454176E0,1.946250153E1,-3.573750305E1,-3.768750000E1
3.749454176E0,1.940625000E1,-3.566250229E1,-3.761250305E1
3.759454176E0,1.935000038E1,-3.562500000E1,-3.793125153E1
3.769454176E0,1.938750076E1,-3.538125229E1,-3.793125153E1
3.779454176E0,1.948125076E1,-3.541875076E1,-3.783750153E1
3.789454176E0,1.931250000E1,-3.570000076E1,-3.800625229E1
3.799454176E0,1.938750076E1,-3.545625305E1,-3.798750305E1
3.809454176E0,1.940625000E1,-3.547500229E1,-3.813750076E1
3.819454176E0,1.938750076E1,-3.573750305E1,-3.843750000E1
3.829454176E0,1.923750114E1,-3.573750305E1,-3.845625305E1
3.839454176E0,1.906875038E1,-3.616875076E1,-3.830625153E1
3.849454176E0,1.884375000E1,-3.618750000E1,-3.866250229E1
3.859454176E0,1.873125076E1,-3.628125000E1,-3.858750153E1
3.869454176E0,1.890000153E1,-3.592500305E1,-3.853125000E1
3.879454176E0,1.906875038E1,-3.600000000E1,-3.841875076E1
3.889454176E0,1.925625038E1,-3.615000153E1,-3.834375000E1
3.899454176E0,1.931250000E1,-3.564375305E1,-3.825000000E1
3.909454176E0,1.914375114E1,-3.577500153E1,-3.832500076E1
3.919454176E0,1.950000000E1,-3.536250305E1,-3.811875153E1
3.929454176E0,1.955625153E1,-3.568125153E1,-3.789375305E1
3.939454176E0,1.957500076E1,-3.568125153E1,-3.770625305E1
3.949454176E0,1.985625076E1,-3.605625153E1,-3.810000229E1
3.959454176E0,1.985625076E1,-3.628125000E1,-3.830625153E1
3.969454176E0,1.944375038E1,-3.600000000E1,-3.836250305E1
3.979454176E0,1.940625000E1,-3.603750229E1,-3.826875305E1
3.989454176E0,1.968750000E1,-3.579375076E1,-3.841875076E1
3.999454176E0,1.963125038E1,-3.568125153E1,-3.860625076E1
4.009454176E0,1.970625114E1,-3.553125000E1,-3.856875229E1
4.019454176E0,1.980000114E1,-3.562500000E1,-3.862500000E1
4.029454176E0,1.965000153E1,-3.541875076E1,-3.838125229E1
4.039454176E0,1.959375000E1,-3.532500076E1,-3.834375000E1
4.049454176E0,1.976250076E1,-3.607500076E1,-3.883125305E1
4.059454176E0,2.011875153E1,-3.626250076E1,-3.881250000E1
4.069454176E0,2.015625000E1,-3.635625076E1,-3.871875000E1
4.079454176E0,2.025000000E1,-3.667500305E1,-3.864375305E1
